tank;treat;comp;PD;PSV;div;dist;time;dc;ph;prbio;prod;prpro;resp;
49;3;19;5333.367;0.6592718;15;0;2;5.605;6.71;102.16;0.299;27.2;0.236;
18;1;1;2141.15;0.3307402;1;0;3;4.878;3.95;30;0.297;31.7;0.219;
21;1;2;3706.65;0.7132152;1;0;2;5.048;3.67;126.81;0.297;147.17;0.243;
1;1;4;3572.133;0.6729162;1;0;2;4.543;4.75;106.85;0.297;116.25;0.233;
42;2;8;4567.150;0.6822085;9;0;3;5.835;0.33;146.4;0.297;42.4;0.24;
29;2;9;4130.267;0.6809895;9;0;1;6.135;3.18;193;0.297;9.56;0.181;
74;2;10;4184.467;0.5680870;9;0;2;4.467;8.82;23.48;0.297;25.44;0.261;
74;2;10;4184.467;0.5680870;9;0;3;4.139;9.3;13.6;0.297;11.7;0.232;
41;5;10;4184.467;0.5680870;9;1;1;4.962;14.12;31.7;0.296;11.41;0.208;
80;5;10;4184.467;0.5680870;9;1;1;5.521;15.66;70.1;0.296;5.3;0.188;
32;6;16;5892.967;0.6028948;15;1;1;5.241;4.94;325.6;0.296;27.69;0.186;
60;1;1;2141.15;0.3307402;1;0;2;4.943;8.43;72.8;0.295;33.66;0.241;
84;1;7;2496.233;0.3513311;1;0;2;4.443;10.36;36.01;0.295;82.39;0.245;
47;6;16;5892.967;0.6028948;15;1;2;4.4;6.31;64.19;0.295;74.86;0.23;
22;3;17;6075.800;0.6443964;15;0;4;6.185;9.82;17.52;0.295;44.13;0.222;
58;4;1;2141.15;0.3307402;1;1;1;6.114;10.79;494.3;0.294;34.08;0.188;
51;5;8;4567.150;0.6822085;9;1;1;5.575;4.31;43.4;0.294;9.71;0.19;
70;5;12;4674.067;0.6206363;9;1;3;5.27;6.35;11.6;0.293;31;0.195;
9;2;13;4484.867;0.5180551;9;0;2;5.89;8.35;69.28;0.293;42.27;0.25;
22;3;17;6075.800;0.6443964;15;0;5;4.884;1.17;13.99;0.293;47.95;0.203;
57;6;17;6075.800;0.6443964;15;1;5;4.153;5.54;26.52;0.293;42.27;0.172;
20;4;1;2141.15;0.3307402;1;1;2;4.538;4.83;115.85;0.292;36.79;0.223;
31;4;6;4106.900;0.6198539;1;1;2;5.095;10.1;135.42;0.292;204.31;0.224;
51;5;8;4567.150;0.6822085;9;1;2;5.833;3.2;64.58;0.292;41.49;0.248;
73;5;14;5700.817;0.5884309;9;1;2;4.571;3.31;160.47;0.292;94.62;0.225;
39;6;17;6075.800;0.6443964;15;1;2;4.833;9.88;57.93;0.292;136.6;0.243;
33;2;10;4184.467;0.5680870;9;0;3;5.139;6.47;13;0.291;40.3;0.212;
30;6;19;5333.367;0.6592718;15;1;1;5.741;3.64;134.3;0.291;15.43;0.165;
8;1;3;3644.667;0.7056692;1;0;2;4.855;2.27;149.12;0.29;55.58;0.39;
37;1;6;4106.900;0.6198539;1;0;2;4.881;2.96;163.21;0.29;170.65;0.218;
31;4;6;4106.900;0.6198539;1;1;3;4.996;5.45;22.1;0.29;75.1;0.189;
84;1;7;2496.233;0.3513311;1;0;3;4.378;11.43;14;0.29;38.7;0.214;
81;6;20;6579.633;0.5983689;15;1;2;5.257;3.41;263.41;0.29;135.82;0.235;
25;4;7;2496.233;0.3513311;1;1;3;4.809;12.04;16.4;0.289;137;0.192;
14;3;19;5333.367;0.6592718;15;0;3;5.935;8.39;13.3;0.289;60.9;0.235;
10;6;15;5886.900;0.6351528;15;1;2;5.61;9.47;128.38;0.288;86.11;0.265;
32;6;16;5892.967;0.6028948;15;1;2;5.033;4.98;306.07;0.288;83.96;0.238;
53;2;14;5700.817;0.5884309;9;0;1;5.61;2.61;155.8;0.287;24.05;0.173;
15;6;18;5401.617; 0.6314815;15;1;3;5.557;2.75;37.4;0.287;13.2;0.178;
16;4;5;3989.200;0.6198539 ;1;1;2;4.281;8.35;108.81;0.286;121.33;0.245;
73;5;14;5700.817;0.5884309;9;1;1;5.7;4.33;212.9;0.286;20.76;0.178;
55;3;18;5401.617; 0.6314815;15;0;5;4.337;127.07;164.78;0.286;126.81;0.19;
10;6;15;5886.900;0.6351528;15;1;6;0.017;244.8;70.8;0.284;243.8;0.199;
11;3;20;6579.633;0.5983689;15;0;5;4.7;2.22;41.98;0.284;89.24;0.164;
82;4;5;3989.200;0.6198539 ;1;1;2;5.414;8.74;37.18;0.283;137.77;0.269;
19;2;14;5700.817;0.5884309;9;0;1;6.08;3.21;154.2;0.283;17.21;0.189;
15;6;18;5401.617; 0.6314815;15;1;2;4.757;8.72;92.76;0.283;32.09;0.258;
12;4;3;3644.667;0.7056692;1;1;2;5.362;3.84;97.46;0.281;51.27;0.233;
41;5;10;4184.467;0.5680870;9;1;2;4.076;9.29;31.7;0.281;39.53;0.241;
56;5;11;4901.300;0.5844182;9;1;1;5.806;9.25;89.6;0.281;10.56;0.195;
34;5;13;4484.867;0.5180551;9;1;1;6.844;1.62;132.3;0.281;22.35;0.204;
7;5;14;5700.817;0.5884309;9;1;3;4.835;5;40.1;0.281;61.4;0.188;
72;6;15;5886.900;0.6351528;15;1;2;4.548;11.04;31.31;0.281;34.15;0.26;
21;1;2;3706.65;0.7132152;1;0;1;6.061;4.7;177.7;0.28;18.56;0.18;
40;4;2;3706.65;0.7132152;1;1;1;5.899;4.33;113.9;0.28;18.57;0.181;
22;3;17;6075.800;0.6443964;15;0;1;6.063;5.91;56;0.28;24.4;0.224;
25;4;7;2496.233;0.3513311;1;1;2;4.229;20.25;46.97;0.279;69.86;0.278;
59;2;13;4484.867;0.5180551;9;0;3;5.483;3.25;98.1;0.279;21.6;0.252;
32;6;16;5892.967;0.6028948;15;1;3;4.361;6.17;40;0.279;25;0.147;
52;6;19;5333.367;0.6592718;15;1;2;5.495;10.85;59.49;0.279;58.71;0.28;
1;1;4;3572.133;0.6729162;1;0;1;4.718;1.71;439.5;0.278;29;0.181;
63;3;20;6579.633;0.5983689;15;0;1;5.965;5.11;126;0.278;15.44;0.163;
56;5;11;4901.300;0.5844182;9;1;5;3.747;14.66;96.68;0.277;24.95;0.176;
35;3;16;5892.967;0.6028948;15;0;2;4.667;4.62;173.39;0.277;75.34;0.274;
30;6;19;5333.367;0.6592718;15;1;3;5.696;5.38;37.8;0.277;33.1;0.193;
50;1;3;3644.667;0.7056692;1;0;5;5.432;4.25;20.45;0.276;112.53;0.208;
37;1;6;4106.900;0.6198539;1;0;3;5.065;2;84.2;0.276;177.3;0.236;
44;2;8;4567.150;0.6822085;9;0;2;5.438;6.98;246.97;0.276;63.9;0.26;
32;6;16;5892.967;0.6028948;15;1;6;4.165;7.9;39.5;0.276;348.7;0.182;
83;3;21;5485.417;0.6329059 ;15;0;2;7.452;5.71;90.02;0.276;73.39;0.231;
79;2;12;4674.067;0.6206363;9;0;1;5.404;9.18;200;0.275;16.29;0.169;
70;5;12;4674.067;0.6206363;9;1;2;4.943;6.29;119.38;0.274;34.35;0.231;
59;2;13;4484.867;0.5180551;9;0;1;7.237;3.41;188.3;0.274;26.52;0.189;
35;3;16;5892.967;0.6028948;15;0;3;5.291;2.92;136.6;0.274;68.7;0.257;
13;2;11;4901.300;0.5844182;9;0;3;4.487;3.48;24.7;0.273;50.9;0.242;
45;1;4;3572.133;0.6729162;1;0;1;5.179;3.27;172.6;0.272;10.85;0.174;
6;4;4;3572.133;0.6729162;1;1;1;5.366;2.71;410.6;0.272;26.18;0.171;
45;1;4;3572.133;0.6729162;1;0;2;5.071;4.02;113.9;0.272;80.63;0.22;
84;1;7;2496.233;0.3513311;1;0;1;4.882;25.21;30.1;0.271;18.88;0.171;
71;2;11;4901.300;0.5844182;9;0;3;4.57;5.64;70.7;0.271;81.2;0.257;
17;5;12;4674.067;0.6206363;9;1;1;5.605;4.21;64.6;0.271;18.21;0.188;
9;2;13;4484.867;0.5180551;9;0;4;7.76;8.05;69.57;0.27;55.19;0.228;
60;1;1;2141.15;0.3307402;1;0;1;6.011;7.02;64.6;0.269;25.86;0.176;
5;5;11;4901.300;0.5844182;9;1;2;4.939;12.51;33.66;0.269;43.45;0.239;
4;3;15;5886.900;0.6351528;15;0;5;4.689;1.8;10.76;0.269;64.87;0.17;
46;3;16;5892.967;0.6028948;15;0;2;4.014;9.64;39.14;0.269;29.65;0.239;
52;6;19;5333.367;0.6592718;15;1;3;4.696;4.55;17.1;0.269;45.1;0.177;
83;3;21;5485.417;0.6329059 ;15;0;1;6.191;9.11;68.5;0.268;13.4;0.174;
28;5;9;4130.267;0.6809895 ;9;1;2;5.329;4.64;223.1;0.267;78.08;0.209;
13;2;11;4901.300;0.5844182;9;0;2;4.257;8.85;78.67;0.267;90.02;0.248;
83;3;21;5485.417;0.6329059  ;15;0;3;1.748;4.28;93.5;0.267;49.4;0.237;
48;5;13;4484.867;0.5180551;9;1;1;6.751;3.2;295.5;0.266;17.85;0.176;
39;6;17;6075.800;0.6443964;15;1;5;4.189;7.67;8.32;0.266;68.89;0.175;
67;3;17;6075.800;0.6443964;15;0;4;4.565;8.73;17.52;0.265;49.81;0.214;
73;5;14;5700.817;0.5884309;9;1;3;4.883;3.29;94.3;0.264;47.9;0.164;
13;2;11;4901.300;0.5844182;9;0;5;4.568;1.15;14.87;0.263;57.83;0.174;
59;2;13;4484.867;0.5180551;9;0;5;5.537;74.89;64.19;0.263;41.19;0.172;
57;6;17;6075.800;0.6443964;15;1;3;5.065;7.37;21.4;0.263;28.7;0.207;
26;3;18;5401.617; 0.6314815;15;0;2;4.943;5.44;64.58;0.263;78.28;0.25;
64;6;18;5401.617; 0.6314815;15;1;3;4.939;2.44;14.4;0.263;22.7;0.186;
11;3;20;6579.633;0.5983689;15;0;3;4.487;5.48;62.6;0.263;202.7;0.227;
13;2;11;4901.300;0.5844182;9;0;1;5.786;9.46;86.5;0.262;12.47;0.194;
7;5;14;5700.817;0.5884309;9;1;1;5.706;1.34;245;0.262;39.69;0.165;
66;4;4;3572.133;0.6729162;1;1;2;4.71;3.2;120.16;0.261;82.59;0.204;
27;1;5;3989.200;0.6198539 ;1;0;5;4.747;50.88;64.58;0.261;170.26;0.164;
49;3;19;5333.367;0.6592718;15;0;5;4.921;2.17;20.45;0.261;49.02;0.186;
58;4;1;2141.15;0.3307402;1;1;3;4.757;4.74;38.1;0.26;63.1;0.185;
21;1;2;3706.65;0.7132152;1;0;3;5.909;1.24;122.5;0.26;167.5;0.192;
42;2;8;4567.150;0.6822085;9;0;2;4.667;3.29;164.39;0.26;40.22;0.243;
10;6;15;5886.900;0.6351528;15;1;5;4.4;1.93;14.78;0.26;70.45;0.167;
24;6;20;6579.633;0.5983689;15;1;5;4.116;1.41;3.03;0.26;39.92;0.168;
18;1;1;2141.15;0.3307402;1;0;1;6.213;4.28;59.9;0.259;18.39;0.19;
20;4;1;2141.15;0.3307402;1;1;3;5.17;3.94;13;0.259;52.1;0.187;
66;4;4;3572.133;0.6729162;1;1;1;5.316;2.91;212.5;0.259;16.16;0.175;
6;4;4;3572.133;0.6729162;1;1;2;4.368;3.78;252.06;0.258;145.99;0.201;
42;2;8;4567.150;0.6822085;9;0;6;4.665;192.3;102.5;0.258;385.5;0.147;
61;5;9;4130.267;0.6809895 ;9;1;1;5.577;5.51;132.7;0.258;15.52;0.201;
83;3;21;5485.417;0.6329059 ;15;0;6;4.217;41.8;120.6;0.258;203.9;0.152;
16;4;5;3989.200;0.6198539 ;1;1;5;3.942;2.26;33.76;0.257;41.98;0.164;
42;2;8;4567.150;0.6822085;9;0;5;4.353;47.02;46.77;0.257;101.27;0.18;
17;5;12;4674.067;0.6206363;9;1;3;5.23;3.21;12.6;0.257;61.4;0.162;
69;4;2;3706.65;0.7132152;1;1;2;4.667;3.09;83.76;0.256;38.36;0.228;
45;1;4;3572.133;0.6729162;1;0;5;3.684;10.15;61.74;0.256;114.68;0.161;
36;1;7;2496.233;0.3513311;1;0;3;5.313;1.66;67.7;0.256;17.4;0.181;
44;2;8;4567.150;0.6822085;9;0;4;5.285;4.97;42.56;0.256;42.86;0.194;
59;2;13;4484.867;0.5180551;9;0;2;5.533;6.08;171.04;0.256;57.44;0.221;
57;6;17;6075.800;0.6443964;15;1;2;5.048;12.17;30.92;0.256;78.96;0.271;
67;3;17;6075.800;0.6443964;15;0;5;4.616;4.12;14.29;0.256;62.33;0.171;
17;5;12;4674.067;0.6206363;9;1;2;4.91;6.07;99.81;0.254;48.53;0.251;
30;6;19;5333.367;0.6592718;15;1;2;5.41;9.98;200.79;0.254;52.06;0.253;
49;3;19;5333.367;0.6592718;15;0;4;5.385;8.83;27.5;0.254;16.34;0.2;
24;6;20;6579.633;0.5983689;15;1;2;4.867;4.41;91.2;0.253;55.97;0.223;
11;3;20;6579.633;0.5983689;15;0;2;4.5;3.37;111.55;0.251;188.26;0.219;
77;1;6;4106.900;0.6198539;1;0;3;6.357;3.98;91.8;0.25;108.7;0.235;
54;4;7;2496.233;0.3513311;1;1;3;4.948;5.22;17.9;0.25;34.1;0.173;
60;1;1;2141.15;0.3307402;1;0;3;5.326;3.72;29.4;0.249;30.1;0.22;
50;1;3;3644.667;0.7056692;1;0;2;5.443;5.68;61.06;0.249;49.9;0.263;
62;2;9;4130.267;0.6809895 ;9;0;5;4.463;82.72;110.67;0.249;67.42;0.155;
68;1;2;3706.65;0.7132152;1;0;2;4.819;4.03;102.55;0.247;57.83;0.205;
56;5;11;4901.300;0.5844182;9;1;2;5.148;8.35;99.02;0.247;56.07;0.238;
32;6;16;5892.967;0.6028948;15;1;5;4.374;1.74;42.66;0.247;257.93;0.174;
55;3;18;5401.617; 0.6314815;15;0;4;5.725;1.44;138.16;0.247;182.39;0.223;
65;1;5;3989.200;0.6198539 ;1;0;2;4.229;7.61;31.31;0.246;155.78;0.269;
62;2;9;4130.267;0.6809895 ;9;0;2;5.086;7.68;154.6;0.246;50.39;0.251;
7;5;14;5700.817;0.5884309;9;1;2;4.862;3.31;176.52;0.246;97.07;0.225;
70;5;12;4674.067;0.6206363;9;1;1;6.507;4.2;83.4;0.245;7.62;0.146;
18;1;1;2141.15;0.3307402;1;0;2;5.448;7.51;76.32;0.244;59.88;0.233;
69;4;2;3706.65;0.7132152;1;1;3;4.83;2.99;42;0.244;26.7;0.18;
29;2;9;4130.267;0.6809895 ;9;0;3;6.135;6.5;152.3;0.244;48.9;0.214;
79;2;12;4674.067;0.6206363;9;0;2;4.457;1.88;93.54;0.244;59.3;0.208;
35;3;16;5892.967;0.6028948;15;0;5;5.326;137.51;110.96;0.244;41.39;0.164;
72;6;15;5886.900;0.6351528;15;1;5;4.974;6.54;19.77;0.243;42.08;0.15;
26;3;18;5401.617; 0.6314815;15;0;4;4.62;1.4;73.09;0.243;45.7;0.188;
14;3;19;5333.367;0.6592718;15;0;4;6.8;6.31;9.59;0.243;56.75;0.192;
68;1;2;3706.65;0.7132152;1;0;1;5.916;14.87;72.8;0.242;7.77;0.163;
19;2;14;5700.817;0.5884309;9;0;2;4.81;1.74;154.99;0.242;99.02;0.216;
18;1;1;2141.15;0.3307402;1;0;5;6.567;0.99;53.03;0.241;71.72;0.15;
44;2;8;4567.150;0.6822085;9;0;5;3.921;58.97;73.09;0.241;49.22;0.136;
60;1;1;2141.15;0.3307402;1;0;5;5.605;19.47;60.76;0.24;52.94;0.152;
44;2;8;4567.150;0.6822085;9;0;3;4.53;3.73;36.6;0.24;57.2;0.229;
75;3;15;5886.900;0.6351528;15;0;2;4.833;4.37;63.41;0.24;41.78;0.261;
63;3;20;6579.633;0.5983689;15;0;3;5.839;6.26;55.1;0.24;168.3;0.192;
36;1;7;2496.233;0.3513311;1;0;2;4.5;2.95;108.03;0.239;29.75;0.176;
61;5;9;4130.267;0.6809895 ;9;1;2;5.943;3.46;129.16;0.239;43.84;0.241;
33;2;10;4184.467;0.5680870;9;0;5;5.484;1.04;13.01;0.239;41.29;0.149;
1;1;4;3572.133;0.6729162;1;0;6;4.561;12;67.1;0.238;420;0.207;
45;1;4;3572.133;0.6729162;1;0;6;3.604;20.5;93.2;0.238;596.9;0.192;
58;4;1;2141.15;0.3307402;1;1;2;4.833;16.05;92.76;0.237;45.99;0.255;
1;1;4;3572.133;0.6729162;1;0;3;4.591;2.49;81.9;0.237;165.6;0.225;
45;1;4;3572.133;0.6729162;1;0;3;5.243;4.2;43.5;0.237;154.2;0.205;
82;4;5;3989.200;0.6198539 ;1;1;3;4.052;3.8;11.7;0.237;21.5;0.161;
76;4;6;4106.900;0.6198539;1;1;2;5.219;5.14;176.13;0.237;123.29;0.225;
76;4;6;4106.900;0.6198539;1;1;3;4.848;4.19;63.9;0.237;92.6;0.149;
28;5;9;4130.267;0.6809895 ;9;1;3;4.939;2.56;37.9;0.237;40.7;0.154;
33;2;10;4184.467;0.5680870;9;0;2;4.719;6.51;66.54;0.237;38.55;0.198;
31;4;6;4106.900;0.6198539;1;1;5;3.847;3.21;65.85;0.236;260.28;0.143;
46;3;16;5892.967;0.6028948;15;0;3;4.3;2.28;56.9;0.236;39.1;0.206;
35;3;16;5892.967;0.6028948;15;0;4;5.09;2.49;11.15;0.236;45.21;0.2;
24;6;20;6579.633;0.5983689;15;1;4;5.45;4.92;7.24;0.236;58.22;0.194;
80;5;10;4184.467;0.5680870;9;1;2;5.133;11.96;28.57;0.235;146.38;0.248;
39;6;17;6075.800;0.6443964;15;1;4;4.425;3.73;17.91;0.235;64.87;0.183;
29;2;9;4130.267;0.6809895 ;9;0;5;5.3;61.32;26.81;0.234;46.58;0.165;
39;6;17;6075.800;0.6443964;15;1;3;5.235;3.56;18.8;0.234;25;0.186;
30;6;19;5333.367;0.6592718;15;1;5;4.658;6.97;13.6;0.234;35.62;0.147;
12;4;3;3644.667;0.7056692;1;1;4;6.55;1.46;24.46;0.233;69.08;0.183;
43;4;3;3644.667;0.7056692;1;1;3;4.926;1.6;22.8;0.231;10.6;0.145;
78;6;21;5485.417;0.6329059  ;15;1;3;4.152;4.21;21.5;0.231;23.8;0.151;
25;4;7;2496.233;0.3513311;1;1;5;3.884;1.16;17.71;0.23;117.03;0.158;
56;5;11;4901.300;0.5844182;9;1;4;4.425;8.18;58.71;0.229;45.89;0.212;
15;6;18;5401.617; 0.6314815;15;1;4;5.595;5.31;11.94;0.229;46.09;0.15;
50;1;3;3644.667;0.7056692;1;0;4;6.2;10.54;13.7;0.228;65.66;0.24;
76;4;6;4106.900;0.6198539;1;1;4;5.205;8.73;14.87;0.228;60.76;0.161;
33;2;10;4184.467;0.5680870;9;0;1;5.205;4.91;47.4;0.228;7.89;0.15;
71;2;11;4901.300;0.5844182;9;0;2;4.49;9.07;77.5;0.228;36.6;0.259;
66;4;4;3572.133;0.6729162;1;1;3;4.622;3.48;27.1;0.227;34.1;0.147;
7;5;14;5700.817;0.5884309;9;1;5;4.189;1.55;38.55;0.227;145.6;0.167;
